customer_ID,Recency,Frequency,Monetary
16684,81,7,671.04
659,27,17,670.0
15423,2,10,669.56
14208,88,8,667.62
4988,14,9,667.36
8992,6,9,666.23
22664,42,8,665.47
16123,19,15,664.87
4401,55,14,664.25
19662,88,9,664.11
22825,10,9,663.48
18445,67,7,663.27
22264,19,6,662.88
22268,12,8,661.35
13846,6,17,660.23
6218,7,12,660.1
14625,0,13,659.55
8852,130,15,659.42
10446,12,11,659.18
14589,132,10,658.8
23191,105,14,657.78
6348,138,11,657.33
8688,63,11,656.76
11109,62,11,656.54
19066,49,9,655.87
2533,35,8,654.0
20,528,2,653.01
7856,53,5,650.49
10622,209,5,650.22
13955,198,12,650.2
20170,138,15,649.94
15518,32,8,647.75
14018,231,8,646.89
14010,27,7,646.71
15929,75,15,646.18
3230,227,6,644.75
1719,202,13,642.44
7066,31,8,642.19
3936,12,12,642.02
11501,92,8,641.75
8712,46,7,641.69
2159,3,13,641.32
20200,287,15,640.49
6153,23,9,639.36
4641,80,9,638.81
10560,119,6,638.32
7306,257,9,636.25
16822,92,7,633.58
9237,130,17,633.53
9179,22,12,633.27
22861,4,15,632.71
6500,10,10,632.45
8969,14,8,630.54
18532,13,12,625.3
4686,124,6,624.78
5608,29,9,624.13
4209,206,9,624.04
8037,18,4,623.3
13493,4,8,622.64
18710,95,8,621.66
5112,12,17,620.49
8265,124,5,619.16
5883,51,10,617.27
15246,94,15,615.33
11513,104,9,615.13
14019,16,5,615.04
16363,9,14,614.96
13212,285,7,613.94
17240,8,8,613.56
16709,312,9,612.83
17606,12,9,611.83
19158,82,7,610.76
8393,75,14,610.59
12215,124,8,609.79
6355,24,10,609.5
12455,20,17,608.82
5379,77,13,608.66
19448,23,12,607.8
20656,4,16,606.9
17914,26,6,605.22
11249,91,5,604.63
4748,8,10,603.22
10823,101,11,603.16
4678,98,6,602.93
2760,54,7,602.25
824,18,12,600.37
3384,33,7,600.12
6789,32,7,598.99
783,12,11,598.65
16458,60,7,598.62
635,65,8,598.57
1785,222,11,597.58
13093,20,8,597.13
22824,13,9,595.63
20071,289,5,595.19
16944,3,15,593.35
9299,32,17,592.96
19226,59,7,592.81
2033,107,6,591.28
10344,168,12,588.9
2601,33,8,588.28
6067,28,7,587.83
18290,124,5,587.51
15084,12,16,586.98
13967,96,17,586.78
3128,411,7,586.67
4225,69,14,585.28
11766,324,6,583.88
8351,19,13,582.67
23388,282,8,582.61
9572,233,3,581.91
5192,293,14,581.89
11832,63,10,581.29
9993,15,9,581.16
5404,78,14,580.19
2931,19,12,580.13
344,36,17,580.12
20306,117,9,579.67
13328,34,10,579.63
19038,229,4,579.3
1633,166,12,578.84
6163,105,10,578.25
19219,20,13,578.18
4383,69,13,578.02
16320,46,13,577.37
7452,29,9,577.21
21761,79,7,576.23
3589,145,8,575.9
7854,83,14,575.43
2717,45,14,574.9
11033,268,9,573.29
12852,119,14,572.27
389,24,10,571.76
6837,307,10,571.58
15808,106,6,571.08
20914,61,4,568.41
20201,19,12,568.35
9812,28,11,567.38
19058,241,6,567.25
7329,61,9,566.51
6804,0,13,566.42
2534,21,14,566.05
1874,56,9,565.24
19909,29,14,564.28
18087,57,7,563.24
22893,15,10,562.67
22924,0,16,562.54
14108,46,4,562.29
5917,35,14,561.52
17255,45,6,560.4
17888,130,16,560.37
13523,261,17,559.36
8655,87,7,559.26
9281,139,13,558.63
3981,0,12,557.76
18424,83,16,557.37
18271,54,12,556.28
18155,387,10,556.17
7792,292,8,556.07
14646,93,8,555.31
850,237,6,553.71
4119,74,10,552.35
20676,222,13,551.99
10954,42,11,551.46
3415,113,5,551.0
14910,285,9,550.67
5649,78,8,550.06
21529,117,9,549.61
12191,175,7,548.65
16607,29,16,548.03
10258,2,12,547.57
14661,449,6,546.53
7377,66,16,545.68
7152,357,7,545.47
7516,77,10,545.22
23000,120,4,544.86
15238,463,1,544.83
13475,308,9,542.63
5677,149,5,542.1
14084,243,10,541.66
12750,28,10,539.98
6225,6,14,539.56
12056,98,14,538.62
11572,19,10,537.66
2661,101,11,536.59
10639,37,11,535.91
1414,109,10,535.06
1791,15,10,534.95
17178,105,10,534.87
22939,69,9,534.73
7649,238,8,534.27
14930,130,13,534.07
19056,8,16,533.64
13638,32,14,533.29
3356,38,6,532.13
13361,373,4,530.44
22624,93,13,529.15
20594,65,6,527.41
5180,24,6,526.8
18499,75,8,526.34
11483,94,7,525.19
15010,4,11,524.89
10613,93,13,523.72
16718,86,11,523.49
20115,55,5,523.2
9965,341,5,521.72
10517,464,3,521.32
12108,6,17,521.25
20400,49,10,521.01
15624,181,10,519.4
4476,8,10,517.78
8027,212,13,517.39
6884,200,8,517.26
15815,45,11,516.96
4755,21,12,516.18
13520,99,5,516.05
12154,19,7,515.82
14790,19,7,514.36
21421,17,11,513.82
9933,159,4,513.49
8950,49,6,512.99
10924,107,6,512.75
10591,450,4,512.64
16097,43,6,512.13
2509,100,6,511.12
9208,15,5,510.77
11213,152,7,510.31
15386,26,11,509.42
457,536,3,509.26
1572,290,9,508.81
15838,284,7,508.42
9661,7,11,508.05
18573,1,7,507.76
15003,492,1,506.97
17072,56,10,506.48
6888,44,13,506.26
14305,30,16,506.21
21817,153,11,505.19
11839,192,9,503.51
10306,20,7,503.42
11494,36,5,501.52
3795,35,16,501.49
3486,3,9,501.06
8462,60,10,500.63
14577,3,7,500.22
14940,201,5,499.41
12272,16,14,499.06
7526,200,8,498.01
4985,27,11,497.12
20391,199,9,496.99
23340,47,10,495.45
4078,131,13,495.33
23313,72,10,495.29
22937,83,10,494.61
4072,17,17,494.05
9651,497,1,493.91
4780,84,6,493.6
19369,27,14,493.45
980,19,8,493.23
6432,61,16,492.6
18984,223,11,492.06
4885,144,7,491.41
8381,74,9,491.0
4945,396,4,490.31
13122,324,7,490.1
21892,15,16,489.7
1893,54,15,489.18
13332,13,15,488.92
609,204,8,488.33
6851,269,3,486.85
18675,418,4,486.54
11603,48,9,486.04
15379,113,4,485.95
21791,276,9,484.58
11515,0,7,484.49
5068,63,12,484.14
10820,32,8,484.03
16640,45,7,483.32
3982,60,7,483.18
22802,8,9,483.03
14099,296,7,482.8
22676,74,13,482.72
1510,5,16,482.21
22099,295,7,482.12
12600,59,16,481.31
11905,96,8,481.3
9744,60,13,481.13
4766,235,2,480.49
15385,6,17,480.16
19036,43,14,479.43
3544,438,6,478.87
456,222,7,478.53
8670,32,9,477.54
12559,366,17,477.39
15637,87,10,477.35
20242,20,15,476.75
7250,174,5,476.1
10719,62,7,476.01
8555,38,13,475.53
6379,296,5,475.04
4115,211,16,474.73
12483,57,10,473.53
8227,338,3,473.33
19439,184,7,473.07
8697,119,12,472.47
13171,146,5,472.28
18712,225,9,472.25
22741,175,7,472.21
19199,92,6,471.98
20824,109,10,471.5
1417,199,4,471.44
1354,407,2,471.1
7734,9,10,470.83
5104,132,5,470.73
4520,41,14,470.45
17319,32,9,469.02
18866,91,8,468.99
2073,536,2,468.53
11827,48,5,468.36
11021,3,11,468.12
1171,30,13,468.04
8218,21,10,467.78
10855,169,7,467.69
12983,87,12,467.68
6368,335,3,467.62
11466,135,11,467.13
3402,61,12,466.75
7721,205,11,466.59
836,230,4,466.46
11630,93,8,465.39
17391,43,15,465.37
711,15,17,465.1
22909,445,4,465.04
16774,115,10,463.89
20425,71,8,463.81
1176,2,15,462.94
16214,54,11,462.5
3442,235,6,461.91
12993,133,8,461.75
22607,173,7,461.71
3125,384,6,461.35
19500,14,16,461.31
10882,265,6,460.14
3409,121,10,460.11
15305,41,13,459.89
16212,233,5,459.85
12892,107,15,459.8
20357,442,7,459.66
1610,147,17,458.16
6397,107,11,458.16
808,21,6,458.13
7562,55,4,458.02
18340,125,6,457.89
21321,4,9,457.83
21977,239,9,457.17
19207,18,13,456.81
2810,229,5,456.79
16477,62,13,456.63
5893,144,13,456.22
22152,208,10,455.32
17062,300,9,454.09
15503,81,8,453.99
846,88,7,452.28
7906,95,3,451.7
12579,62,12,451.65
6060,164,6,450.32
19202,32,7,450.31
5867,6,14,450.18
11693,32,13,450.18
1170,40,11,450.1
6089,15,11,450.01
19080,459,3,449.41
1711,23,11,447.95
7730,425,6,447.7
18547,99,7,447.6
21834,191,6,447.41
20345,62,6,447.09
1661,21,13,446.88
4741,106,8,446.75
16119,46,11,446.3
5336,3,11,446.06
1566,339,5,445.91
52,53,8,445.68
6494,39,12,445.47
22665,61,8,445.23
14776,254,5,445.04
9307,116,8,444.46
15528,90,9,444.28
16098,68,5,444.27
6051,15,9,443.82
9798,88,5,443.41
7461,46,12,443.21
21619,36,7,443.17
8871,475,7,442.74
11938,24,12,442.56
12807,202,7,442.51
10242,8,14,442.38
12939,106,6,442.35
9154,8,15,442.33
10027,68,4,441.51
3558,261,7,441.36
21281,40,9,441.05
938,108,4,441.01
16033,445,2,439.49
16465,293,4,439.21
9863,46,17,438.92
7596,49,11,438.48
5553,233,7,438.06
8863,108,8,437.7
13676,203,8,437.25
9362,510,1,436.91
5784,46,10,436.85
8183,115,12,436.8
5988,29,15,436.63
7291,36,4,436.04
29,65,12,435.81
6145,23,12,435.35
12941,452,3,434.97
6799,7,10,434.86
2547,135,11,434.74
10606,261,12,434.07
11584,64,7,433.74
19906,67,17,433.56
13787,126,7,433.54
1410,28,6,433.19
13078,22,6,433.08
3887,23,9,433.05
6950,519,1,432.76
2784,120,8,432.65
1741,34,16,432.6
10370,0,9,432.58
3528,122,15,432.48
5956,7,17,432.44
14112,18,13,432.01
12238,85,10,431.94
6022,429,2,431.8
4474,179,5,431.74
12060,45,9,431.66
21365,27,11,431.05
19708,75,9,430.83
81,276,14,430.69
10586,54,3,430.32
14768,17,11,430.19
2124,29,8,429.53
6209,130,17,428.8
8431,62,10,428.49
16319,50,7,428.09
6951,17,11,427.9
19923,63,11,427.69
7955,82,13,427.49
20734,449,3,427.36
23096,100,4,426.99
3015,144,9,426.89
19627,6,17,426.27
3110,218,6,426.12
5034,21,10,426.02
5386,2,13,425.96
11390,109,8,425.96
12058,231,3,425.83
3428,61,10,425.71
12747,123,15,425.66
16466,61,10,425.56
14314,3,9,425.46
14118,139,10,425.38
9531,39,11,424.93
11055,25,7,424.49
3229,38,15,424.41
8398,7,5,424.11
8634,108,7,423.91
9870,166,8,423.91
9000,95,5,423.86
12102,11,11,423.17
9666,49,11,422.96
23041,15,10,422.75
13588,119,5,422.7
15033,461,2,422.66
5401,4,4,422.36
5550,339,8,422.2
22532,223,12,421.04
2308,118,3,420.81
4864,46,6,420.37
8017,41,17,420.17
16340,238,5,419.5
7471,52,14,419.44
15770,21,10,417.72
1488,79,4,417.24
11634,349,10,417.19
19156,199,9,417.09
1765,26,7,417.04
161,29,11,416.91
21907,153,5,416.69
22436,55,7,416.09
19737,23,7,416.09
3157,95,10,415.81
3948,160,14,415.57
18496,25,10,415.42
1167,73,8,415.29
6187,40,10,415.23
22930,98,5,415.23
10768,66,12,415.03
4478,8,14,415.02
12843,21,14,414.94
6273,168,14,414.86
6562,17,13,414.55
18787,47,10,414.51
15298,2,12,414.19
5808,42,6,413.79
7969,9,11,413.24
18915,38,6,413.05
13823,71,7,413.03
323,8,9,412.75
12024,158,11,412.47
13453,168,7,412.39
1551,16,6,411.89
339,221,5,411.84
691,2,13,411.62
19320,5,9,411.55
11227,95,4,411.44
20740,124,9,411.07
10339,24,12,411.04
19820,136,6,410.59
2021,119,8,409.91
11093,206,8,409.88
3614,197,9,409.5
3812,153,4,409.21
17863,68,5,409.19
21475,30,11,408.48
13094,56,6,408.36
21878,41,10,408.29
13782,396,12,408.21
2223,20,10,408.03
16484,35,9,407.45
6663,128,12,407.06
4440,20,13,405.91
13487,72,11,405.31
11066,44,15,404.96
3413,124,8,404.77
20985,45,6,404.45
3332,3,10,404.45
14996,16,7,404.36
4683,42,5,404.34
13546,13,12,404.33
20504,132,8,404.31
6872,2,4,403.83
4828,21,9,403.69
1205,321,6,403.25
2108,39,8,402.94
2081,187,9,402.89
2629,214,8,402.79
6761,24,12,402.22
9750,31,9,401.76
4594,258,4,401.64
13384,98,7,401.27
4503,98,9,401.21
4359,487,2,400.84
8970,20,9,400.38
7148,203,7,400.16
19352,3,7,400.0
10009,243,4,399.97
22274,117,6,399.94
16785,117,4,399.67
19912,315,9,399.65
19946,476,1,399.63
979,96,6,399.59
15619,246,8,399.59
8494,77,10,399.58
19699,28,9,399.53
10101,29,9,399.14
5657,74,7,398.59
5747,146,6,398.55
14898,43,10,398.39
16093,30,4,398.29
7309,59,6,397.42
5779,366,3,396.6
8454,114,6,396.06
19438,23,10,395.99
6117,102,13,395.98
14726,28,12,395.77
14350,30,6,395.12
773,190,10,394.8
11771,25,10,394.49
18046,61,12,394.29
11876,213,8,393.96
9181,4,16,393.79
12953,70,15,392.61
6072,135,7,392.5
15500,273,16,392.44
2738,142,13,392.38
933,449,7,392.04
12336,1,10,391.87
6283,23,5,391.37
5125,37,7,391.21
5345,201,5,390.98
18324,55,2,390.93
1769,31,8,390.79
3481,155,10,390.73
9230,337,4,390.48
13504,441,3,390.35
8333,510,1,390.03
14296,68,12,389.93
3882,12,14,389.92
11371,76,10,389.91
1248,90,5,389.84
12838,57,15,389.64
11903,20,16,389.5
8022,0,3,389.44
5878,12,7,389.03
20732,4,8,388.89
1314,28,14,388.7
22637,60,9,388.61
7130,30,7,388.54
10533,96,11,388.5
14146,4,12,388.47
17142,21,11,388.31
626,42,4,387.87
6315,12,8,387.8
21628,111,7,387.71
14015,134,10,387.07
2164,39,12,386.73
15514,209,2,386.7
295,95,4,386.58
1494,17,11,386.47
1594,30,9,386.45
10113,45,13,386.34
17814,10,12,386.26
2562,482,3,385.99
5,178,11,385.61
18259,70,16,385.58
15035,60,15,384.92
14507,158,7,384.79
15583,266,9,384.43
9458,74,8,384.38
7469,83,12,384.22
9465,25,9,384.07
22748,20,9,384.06
9743,37,5,383.47
8032,166,10,383.34
19772,139,5,383.28
17959,40,6,383.2
7163,518,1,382.62
8132,20,10,382.42
16330,65,13,382.27
1160,509,3,382.23
13855,34,13,382.18
8121,93,7,382.08
21230,180,9,382.01
23162,4,10,381.99
19329,0,15,381.98
1695,28,12,381.96
16046,251,2,381.75
2166,12,11,381.68
15788,28,16,381.59
14998,16,11,381.49
15259,98,8,381.28
3070,533,1,381.0
13263,334,2,380.83
1970,3,13,379.87
13275,19,12,379.78
22435,61,9,379.6
7956,65,7,379.47
11006,172,7,379.25
23105,25,10,378.73
10085,99,11,378.46
12883,395,3,378.38
6295,205,4,378.26
11326,114,5,378.11
18718,295,9,378.02
2438,373,7,377.93
2210,159,13,377.73
21781,105,11,377.11
20793,96,8,377.07
18103,69,10,376.84
6126,39,13,376.82
3184,25,8,376.77
15163,130,12,376.45
10263,442,2,376.4
2307,118,12,375.84
22472,299,2,375.6
3214,387,5,375.46
13032,8,16,375.25
1626,167,4,374.86
602,333,3,374.6
16430,78,12,374.5
12999,3,10,374.47
9027,109,6,374.31
19020,242,5,374.28
7213,26,15,374.14
23251,462,1,374.0
15424,412,3,373.86
16853,45,13,373.61
8648,270,5,373.34
5876,75,12,373.27
18623,16,14,373.27
8943,196,7,373.06
15289,143,12,372.42
22549,7,9,372.35
13888,32,13,372.31
21905,94,15,372.19
19217,30,6,372.17
16836,267,4,372.02
17725,17,12,371.96
3701,56,6,371.81
16284,413,8,371.34
23147,19,10,371.29
10347,30,8,371.23
6591,5,12,371.08
1183,11,8,371.08
3283,50,12,370.84
11311,94,7,370.26
3523,88,10,370.06
16919,10,14,370.04
21350,231,2,370.0
23362,49,14,369.77
18215,84,9,369.58
13691,344,8,369.38
12651,444,5,369.11
16589,60,17,369.11
17310,6,10,369.05
15377,47,11,368.89
8450,107,4,368.81
10588,34,5,368.67
15335,27,11,368.21
17751,85,12,368.17
4642,13,10,368.02
1983,137,7,367.88
5427,246,6,367.87
1185,230,5,367.82
16695,15,7,367.51
51,211,6,367.38
64,5,13,367.37
17252,42,16,366.97
9719,69,7,366.91
2543,411,3,366.87
13425,10,8,366.6
3496,9,12,366.55
3788,20,8,366.44
21447,30,7,366.44
21765,102,7,366.26
11225,21,10,365.74
22269,124,4,365.66
21663,106,5,365.58
5549,60,4,365.43
5119,220,10,365.41
6753,21,15,365.36
21975,434,4,364.92
19945,207,6,364.75
6813,76,6,364.69
14610,8,10,364.62
12453,57,15,364.5
18316,313,10,364.42
1400,46,7,364.32
4893,235,4,364.3
11610,19,9,364.25
5863,240,10,364.15
15457,92,5,363.57
16660,19,15,363.49
3163,97,14,363.31
21603,70,8,363.27
23285,39,8,363.04
15123,24,8,363.02
1623,56,7,362.85
17759,2,16,362.66
16378,35,8,362.29
1468,16,11,362.23
15174,3,15,362.15
20048,333,3,362.11
15438,4,11,362.07
2064,185,11,362.04
2078,23,6,361.72
18441,208,7,361.65
8297,514,1,361.57
13227,97,12,361.56
15504,56,9,361.54
5332,59,8,361.35
561,21,11,361.21
17054,138,2,361.15
9425,162,9,360.96
15480,13,9,360.64
19215,61,4,360.37
9241,339,4,360.35
6499,163,5,360.32
3264,506,4,360.28
12521,87,13,360.25
13732,179,10,359.85
12006,212,5,359.73
23114,132,12,359.6
16326,8,12,359.33
3678,114,4,359.21
1471,391,9,359.18
20704,22,10,359.11
19242,0,8,358.95
16686,17,9,358.71
13527,108,5,358.48
14157,370,3,358.28
11823,8,12,358.15
8289,229,8,358.08
1032,60,9,357.96
16886,53,16,357.86
15082,60,7,357.76
5246,0,5,357.73
9603,34,13,357.54
11677,287,8,357.44
1606,16,15,357.39
15706,111,3,357.03
8832,45,11,356.82
3138,54,4,356.8
4066,8,8,356.61
19958,233,8,356.4
19208,33,8,356.24
15642,179,7,356.09
20536,4,7,355.99
21757,427,8,355.79
15278,0,12,355.78
23159,429,3,355.68
5498,498,2,355.32
11214,197,3,354.96
11837,13,6,354.55
7111,351,5,354.42
12081,141,6,353.47
11878,433,4,353.21
14361,142,2,353.12
8162,35,17,353.11
11759,197,6,353.03
15205,332,5,353.02
3653,124,8,352.58
4618,516,2,352.5
23532,219,10,351.87
5765,314,6,351.33
16843,29,12,351.07
6633,450,3,350.97
13460,46,12,350.74
5631,246,7,350.34
18127,224,17,350.27
19561,19,11,350.25
20422,13,8,350.22
6996,2,12,350.05
20706,473,1,349.9
14701,183,6,349.76
3289,15,7,349.6
765,179,3,349.43
6305,98,9,349.27
6290,32,11,349.06
10471,85,7,348.92
22009,106,10,348.91
5426,30,4,348.51
252,20,6,348.26
2405,10,10,348.25
13499,283,5,348.25
5444,4,12,348.19
9462,250,5,347.94
21443,84,7,347.9
1229,131,10,347.61
4918,21,14,347.52
9739,19,16,347.2
19830,313,12,346.83
4237,206,4,346.32
22144,152,4,346.17
11814,160,5,346.14
10372,325,2,345.69
12591,81,9,345.56
2280,12,13,345.44
11266,505,1,345.33
10058,145,8,345.26
6783,245,9,345.23
22349,3,4,345.18
8957,97,11,345.1
16434,89,9,345.04
14714,69,5,344.96
13490,177,8,344.91
20492,304,4,344.82
23075,27,6,344.76
18812,68,13,344.16
15959,438,4,344.06
746,346,4,344.0
12034,52,7,343.89
15356,19,6,343.86
7871,18,7,343.34
19973,142,8,343.33
15448,304,9,343.02
15398,328,3,342.97
7434,203,4,342.66
22948,65,11,342.57
9358,80,2,342.54
6576,37,11,342.42
10143,138,3,342.33
13645,38,7,342.29
11209,274,4,342.26
7535,117,13,342.23
1584,78,5,342.19
17144,1,9,341.8
19638,80,6,341.66
5405,197,5,341.3
21181,393,5,341.22
17646,408,3,341.03
16039,64,11,340.89
6335,100,7,340.81
16060,142,7,340.7
1460,40,8,340.64
9890,21,5,340.62
14355,166,9,339.9
8728,45,8,339.84
228,175,13,339.79
15862,142,5,339.77
19247,250,3,339.77
10102,59,9,339.76
8284,514,2,339.73
7232,19,8,339.7
15612,231,6,339.63
10654,30,11,339.58
1533,36,10,339.46
11106,243,11,339.24
20241,109,8,339.22
3517,130,12,338.98
18164,253,9,338.95
14295,240,4,338.76
12744,343,3,338.69
12938,29,8,338.49
22444,65,8,338.26
3213,471,6,337.77
2228,268,4,337.62
5795,416,3,337.59
6658,440,4,337.32
22755,62,9,337.24
18668,44,12,337.24
12320,231,4,337.12
4274,48,6,337.04
13345,126,8,337.02
5226,74,10,336.93
16094,207,12,336.56
11981,72,11,336.53
4488,218,16,336.28
21104,364,2,336.04
23072,279,7,335.84
15679,39,7,335.55
11242,196,4,334.49
12947,7,14,334.24
8993,8,9,334.16
10644,290,6,333.52
16998,167,7,333.52
4598,229,8,332.99
1586,342,5,332.88
2430,70,9,332.69
17763,116,11,332.63
1684,15,12,332.6
10061,26,12,332.53
12538,72,10,332.44
7120,66,10,332.38
3091,112,7,332.26
4289,288,4,332.17
4625,501,2,331.96
4321,237,8,331.71
10473,70,5,331.55
12879,45,5,331.53
8357,237,3,331.52
20383,20,9,331.34
6056,63,9,331.31
18778,13,9,331.17
2595,176,8,330.67
7101,359,4,330.62
9222,261,15,330.53
5989,338,3,330.42
10173,247,6,330.31
22188,334,4,330.24
5221,355,13,329.86
8901,452,2,329.67
21990,136,8,329.64
14559,232,4,329.58
16120,227,8,329.54
19690,32,3,329.29
585,45,12,329.16
2107,39,9,328.61
17192,336,7,328.6
11531,201,3,328.34
2986,143,9,328.19
9692,4,10,328.09
9143,3,8,328.05
8078,102,2,327.93
3791,119,6,327.88
15096,112,13,327.84
20095,231,3,327.78
19304,25,13,327.72
7359,142,11,327.67
2061,153,8,327.64
8487,45,17,327.54
1294,138,6,327.44
12371,497,2,327.4
927,178,4,327.36
11044,167,6,327.32
3443,13,10,327.26
19780,106,3,327.19
22181,156,4,327.15
23053,176,8,327.06
7691,398,6,326.78
21680,13,10,326.75
23143,310,3,326.65
17259,114,5,326.28
9423,74,9,326.17
12553,99,7,326.13
11421,40,12,325.8
5749,58,10,325.53
870,113,11,325.46
2317,21,9,325.29
14505,69,14,325.28
2945,15,6,325.18
18591,37,7,325.18
21237,39,9,325.18
5232,3,9,324.96
3044,26,15,324.92
4079,1,5,324.9
97,94,4,324.75
8875,17,6,324.71
14959,241,9,324.45
3536,3,16,324.15
9157,21,9,323.92
7973,7,6,323.83
13688,1,10,323.24
16641,41,10,323.2
16129,152,5,323.15
4277,4,9,322.73
13074,448,7,322.66
18747,329,3,322.56
3769,333,3,322.55
9799,120,5,322.49
23399,107,11,322.37
12585,404,3,322.29
18618,301,10,322.27
1083,3,11,322.23
3099,397,4,321.96
8128,46,8,321.83
13814,193,7,321.41
8632,208,12,321.37
545,248,4,321.34
4879,29,4,320.96
21900,30,6,320.95
19805,224,9,320.82
2368,42,5,320.8
9535,112,11,320.77
9092,53,11,320.59
21579,106,6,320.49
22149,41,8,320.49
18233,206,5,320.22
9698,66,6,320.2
22306,13,15,320.18
9289,2,12,320.17
19472,378,8,319.9
6929,518,3,319.89
15113,219,5,319.81
21759,63,12,319.43
20410,86,12,319.3
6462,204,8,319.08
40,114,14,318.94
16158,333,3,318.91
8674,304,2,318.76
16059,89,12,318.43
5575,21,16,318.38
4206,37,7,317.71
10539,103,5,317.27
18043,26,17,317.15
11887,11,8,317.14
4259,167,5,317.12
22590,23,13,316.97
5120,123,9,316.93
21446,28,17,316.67
3596,60,14,316.63
3303,25,8,316.58
17676,51,6,316.44
21464,296,5,316.38
20920,78,4,316.34
6080,48,14,316.3
10621,153,3,316.25
13806,120,4,315.93
46,230,7,315.87
1444,103,3,315.66
19347,37,5,315.64
14915,25,5,315.58
14198,159,8,315.1
8409,88,8,315.0
19358,197,4,314.86
10044,91,6,314.49
10544,101,9,314.38
9740,13,12,314.33
12657,20,16,314.29
4406,114,14,314.24
18399,270,8,314.01
8910,94,7,313.97
5670,122,7,313.96
8105,99,3,313.88
18604,48,5,313.77
8171,15,7,313.76
23338,18,12,313.7
4556,106,5,313.62
17706,3,8,313.48
21239,24,15,313.45
21693,99,10,313.41
6871,28,7,313.41
20303,137,6,313.31
1349,14,13,313.22
3971,152,9,312.79
4131,153,5,312.39
19415,19,5,312.32
12263,202,3,312.04
2450,222,7,312.04
5695,18,8,312.02
23534,59,8,311.92
14217,104,5,311.91
11247,203,6,311.84
13666,173,6,311.62
15142,67,4,311.44
13035,87,6,311.26
7415,185,6,311.14
20247,396,5,310.72
11251,84,7,310.68
1607,28,6,310.14
7393,38,11,310.12
15623,111,8,310.08
11152,331,8,309.87
10893,58,13,309.77
19770,1,12,309.65
4776,58,4,309.59
23487,61,6,309.47
17089,2,8,309.44
7427,230,4,309.43
11690,164,17,309.06
2851,18,13,309.04
6013,333,6,308.9
9275,57,3,308.89
16331,33,10,308.8
2295,8,9,308.79
6735,236,5,308.63
6017,336,9,308.58
981,101,2,308.38
5995,123,9,308.37
11651,74,7,308.34
9375,114,9,308.09
18331,180,5,307.86
23196,128,7,307.78
4375,146,8,307.74
8304,35,12,307.51
11425,158,13,307.44
12204,6,7,307.17
18918,61,5,307.04
5711,29,9,306.95
12000,101,3,306.81
8601,2,9,306.61
10973,233,5,306.57
10699,221,7,306.5
20976,46,9,306.2
19234,371,6,306.15
11995,54,9,305.6
23040,60,6,305.57
2993,351,5,305.56
7781,516,1,305.48
3421,69,14,305.46
2871,230,4,305.46
4416,29,8,305.44
20797,8,12,305.37
2148,230,9,305.22
238,338,5,305.19
3778,381,5,305.12
11543,8,8,305.07
6669,36,11,305.02
8095,202,8,305.01
9898,4,5,304.95
3313,163,3,304.84
23423,234,4,304.78
